Category,CategoryOrder,Display,Speak,Image,CategoryColor,TileColor,TileOrder,CategoryImage,BoardName,BoardColor,BoardImage
Unsafe,5,I am not safe here,I am not safe here,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/danger.png,#ef4444,,1,https://static.arasaac.org/pictograms/15527/15527_300.png,Emergency,#ef4444,https://static.arasaac.org/pictograms/6214/6214_300.png
Unsafe,5,Someone is following me,Someone is following me,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/to follow.png.varianted-skin.png,#ef4444,,2,https://static.arasaac.org/pictograms/15527/15527_300.png,Emergency,#ef4444,https://static.arasaac.org/pictograms/6214/6214_300.png
Unsafe,5,I am lost,I am lost,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/to get lost.png.varianted-skin.png,#ef4444,,3,https://static.arasaac.org/pictograms/15527/15527_300.png,Emergency,#ef4444,https://static.arasaac.org/pictograms/6214/6214_300.png
Unsafe,5,I want to leave,I want to leave this place,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/to go out.png.varianted-skin.png,#ef4444,,4,https://static.arasaac.org/pictograms/15527/15527_300.png,Emergency,#ef4444,https://static.arasaac.org/pictograms/6214/6214_300.png
Unsafe,5,Lock the door,Please lock the door,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/door.svg,#ef4444,,5,https://static.arasaac.org/pictograms/15527/15527_300.png,Emergency,#ef4444,https://static.arasaac.org/pictograms/6214/6214_300.png
Where Am I?,6,Where am I?,Where am I?,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/where.png,#ef4444,,1,https://static.arasaac.org/pictograms/35575/35575_300.png,Emergency,#ef4444,https://static.arasaac.org/pictograms/6214/6214_300.png
Where Am I?,6,I am confused,I am confused,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/confusion.png.varianted-skin.png,#ef4444,,2,https://static.arasaac.org/pictograms/35575/35575_300.png,Emergency,#ef4444,https://static.arasaac.org/pictograms/6214/6214_300.png
Where Am I?,6,Take me home,Please take me home,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/home.png,#ef4444,,3,https://static.arasaac.org/pictograms/35575/35575_300.png,Emergency,#ef4444,https://static.arasaac.org/pictograms/6214/6214_300.png
Where Am I?,6,I need directions,I need directions,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/road sign.png,#ef4444,,4,https://static.arasaac.org/pictograms/35575/35575_300.png,Emergency,#ef4444,https://static.arasaac.org/pictograms/6214/6214_300.png
Where Am I?,6,What is this place?,What is this place?,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/what.png,#ef4444,,5,https://static.arasaac.org/pictograms/35575/35575_300.png,Emergency,#ef4444,https://static.arasaac.org/pictograms/6214/6214_300.png
Find Caregiver,7,Find my caregiver,Please find my caregiver,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/caregiver.png,#ef4444,,1,https://static.arasaac.org/pictograms/35307/35307_300.png,Emergency,#ef4444,https://static.arasaac.org/pictograms/6214/6214_300.png
Find Caregiver,7,Find a nurse,Please find a nurse,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Nurse-8169964372.svg,#ef4444,,2,https://static.arasaac.org/pictograms/35307/35307_300.png,Emergency,#ef4444,https://static.arasaac.org/pictograms/6214/6214_300.png
Find Caregiver,7,Find my family,Please find my family,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Family-103603dd06.svg,#ef4444,,3,https://static.arasaac.org/pictograms/35307/35307_300.png,Emergency,#ef4444,https://static.arasaac.org/pictograms/6214/6214_300.png
Find Caregiver,7,I am alone,I am alone and need someone,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/alone.png.varianted-skin.png,#ef4444,,4,https://static.arasaac.org/pictograms/35307/35307_300.png,Emergency,#ef4444,https://static.arasaac.org/pictograms/6214/6214_300.png
Find Caregiver,7,Stay with me,Please stay with me,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/to wait_2.png.varianted-skin.png,#ef4444,,5,https://static.arasaac.org/pictograms/35307/35307_300.png,Emergency,#ef4444,https://static.arasaac.org/pictograms/6214/6214_300.png
