Category,CategoryOrder,Display,Speak,Image,CategoryColor,TileColor,TileOrder,CategoryImage,BoardName,BoardColor,BoardImage
Volume,5,Mute,Mute the sound,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/silence.png,#3498db,,3,https://static.arasaac.org/pictograms/6218/6218_300.png,Voice Help,#3498db,https://static.arasaac.org/pictograms/11685/11685_300.png
Volume,5,Unmute,Unmute the sound,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/speak.png,#3498db,,4,https://static.arasaac.org/pictograms/6218/6218_300.png,Voice Help,#3498db,https://static.arasaac.org/pictograms/11685/11685_300.png
Volume,5,Too loud,It is too loud,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/very.png,#3498db,,5,https://static.arasaac.org/pictograms/6218/6218_300.png,Voice Help,#3498db,https://static.arasaac.org/pictograms/11685/11685_300.png
Weather,6,What is the weather?,What is the weather today?,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/weather forecast.png,#3498db,,1,https://static.arasaac.org/pictograms/24721/24721_300.png,Voice Help,#3498db,https://static.arasaac.org/pictograms/11685/11685_300.png
Weather,6,Is it raining?,Is it raining outside?,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/rain.png,#3498db,,2,https://static.arasaac.org/pictograms/24721/24721_300.png,Voice Help,#3498db,https://static.arasaac.org/pictograms/11685/11685_300.png
Weather,6,Is it sunny?,Is it sunny outside?,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/sunny.png,#3498db,,3,https://static.arasaac.org/pictograms/24721/24721_300.png,Voice Help,#3498db,https://static.arasaac.org/pictograms/11685/11685_300.png
Weather,6,Is it cold?,Is it cold outside?,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/cold_1.png,#3498db,,4,https://static.arasaac.org/pictograms/24721/24721_300.png,Voice Help,#3498db,https://static.arasaac.org/pictograms/11685/11685_300.png
Weather,6,Is it hot?,Is it hot outside?,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/hot.png,#3498db,,5,https://static.arasaac.org/pictograms/24721/24721_300.png,Voice Help,#3498db,https://static.arasaac.org/pictograms/11685/11685_300.png
Time,7,What time is it?,What time is it?,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/hour.png,#3498db,,1,https://static.arasaac.org/pictograms/7230/7230_300.png,Voice Help,#3498db,https://static.arasaac.org/pictograms/11685/11685_300.png
Time,7,What day is it?,What day is it today?,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/today.svg,#3498db,,2,https://static.arasaac.org/pictograms/7230/7230_300.png,Voice Help,#3498db,https://static.arasaac.org/pictograms/11685/11685_300.png
Time,7,Set a timer,Set a timer please,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/hour.png,#3498db,,3,https://static.arasaac.org/pictograms/7230/7230_300.png,Voice Help,#3498db,https://static.arasaac.org/pictograms/11685/11685_300.png
Time,7,Set an alarm,Set an alarm please,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/hour.png,#3498db,,4,https://static.arasaac.org/pictograms/7230/7230_300.png,Voice Help,#3498db,https://static.arasaac.org/pictograms/11685/11685_300.png
Time,7,How long until?,How long until it starts?,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/when.png,#3498db,,5,https://static.arasaac.org/pictograms/7230/7230_300.png,Voice Help,#3498db,https://static.arasaac.org/pictograms/11685/11685_300.png
